# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9687
#@/user_id	arsiendle_pc
a;ka 	啊	c=9 d=1.45172 t=9687
bù;ad,ax kāi;ac 	不开	c=2 d=1.90795 t=9687
bù;ad,ax kě;dk 	不可	c=1 d=0.0572688 t=9687
bù;ad,ax kě;dk néng;sb 	不可能	c=3 d=0.0488017 t=9687
bù;ad,ax kě;dk yǐ;rd,ry 	不可以	c=4 d=0.870949 t=9687
bù;ad,ax kǎo;lk lǜ;hx,xh 	不考虑	c=1 d=0.0057994 t=9687
bù;ad,ax liǎo;aa,vu 	不了	c=1 d=0.0149956 t=9687
bù;ad,ax liǎo;aa,vu le;aa,vu 	不了了	c=0 d=2.35217e-05 t=9687
bù;ad,ax míng;oo bái;pa,po 	不明白	c=1 d=0.194953 t=9687
bù;ad,ax měi;dy,yd guān;jy,yj 	不美观	c=1 d=0.0982736 t=9687
bù;ad,ax néng;sb 	不能	c=9 d=0.900325 t=9687
bù;ad,ax qīng;dq chu;mp,pl 	不清楚	c=1 d=0.0412714 t=9687
bù;ad,ax qīng;dq xī;ox 	不清晰	c=1 d=0.0212797 t=9687
bù;ad,ax qǐ;zj zuò;rv yòng;kf 	不起作用	c=3 d=0.336216 t=9687
bù;ad,ax rán;hq 	不然	c=7 d=0.83527 t=9687
bù;ad,ax rú;nk 	不如	c=2 d=0.946988 t=9687
bù;ad,ax shuō;yd 	不说	c=1 d=0.0049667 t=9687
bù;ad,ax shú;hu xī;xm,xb 	不熟悉	c=1 d=0.142987 t=9687
bù;ad,ax shēng;na xiào;wj 	不生效	c=3 d=0.628135 t=9687
bù;ad,ax shǐ;rl yòng;kf 	不使用	c=1 d=0.0518189 t=9687
bù;ad,ax suǒ;jb 	不锁	c=1 d=1.81396e-06 t=9687
bù;ad,ax tuán;kc duì;er 	不团队	c=1 d=0.000218221 t=9687
bù;ad,ax tíng;rt 	不停	c=1 d=0.597501 t=9687
bù;ad,ax tóng;kk 	不同	c=1 d=0.000389106 t=9687
bù;ad,ax tóng;kk míng;xk 	不同名	c=1 d=0.000383949 t=9687
bù;ad,ax xiě;by 	不写	c=1 d=0.000626726 t=9687
bù;ad,ax xiǎng;xx 	不想	c=4 d=0.0336626 t=9687
bù;ad,ax xiǎng;xx cè;dz 	不想测	c=1 d=0.0262523 t=9687
bù;ad,ax xiǎng;xx pǎo;zb 	不想跑	c=0 d=0.0537944 t=9687
bù;ad,ax xíng;xd,xi 	不行	c=5 d=0.774916 t=9687
bù;ad,ax xíng;xd,xi le;aa,vu 	不行了	c=3 d=0.000177005 t=9687
bù;ad,ax xū;ye yào;xn 	不需要	c=7 d=0.937067 t=9687
bù;ad,ax xǐ;uk huān;yq 	不喜欢	c=1 d=0.477114 t=9687
bù;ad,ax yí;aa yàng;my 	不一样	c=4 d=1.33708 t=9687
bù;ad,ax yí;aa yàng;my de;bu rén;pd 	不一样的人	c=1 d=0.0119145 t=9687
bù;ad,ax yě;gg shì;op,ov 	不也是	c=1 d=0.447088 t=9687
bù;ad,ax yǐng;pj xiǎng;kx 	不影响	c=2 d=0.249075 t=9687
bù;ad,ax zhí;aa,uq guān;jy,yj 	不直观	c=0 d=0.0115903 t=9687
bù;ad,ax zhī;uk,ku dào;zu 	不知道	c=10 d=1.6887 t=9687
bù;ad,ax zú;kv 	不足	c=2 d=0.704617 t=9687
bù;ad,ax zěn;xv me;ps 	不怎么	c=1 d=0.0862934 t=9687
bù;ek,ep fèn;bd,db 	部分	c=24 d=0.41197 t=9687
bù;ek,ep shǔ;sv 	部署	c=1 d=0.00538038 t=9687
bù;ek,ep shǔ;sv shí;oc 	部署时	c=1 d=1 t=9583
bù;ju,uj 	布	c=1 d=0.000208619 t=9687
bù;ju,uj ěr;dx,xd 	布尔	c=1 d=0.000617396 t=9687
bú;ad,ax biàn;rg 	不便	c=1 d=0.882497 t=9687
bú;ad,ax biàn;wy,yy 	不变	c=1 d=0.202909 t=9687
bú;ad,ax bèi;yp 	不被	c=2 d=1.04149 t=9687
bú;ad,ax cè;dz 	不测	c=1 d=0.0267827 t=9687
bú;ad,ax duàn;ja,jm,jv 	不断	c=1 d=0.0031354 t=9687
bú;ad,ax duì;cy,yc 	不对	c=6 d=0.563099 t=9687
bú;ad,ax dài;jb nǎo;ox zi;aa,vh 	不带脑子	c=1 d=0.0057417 t=9687
bú;ad,ax dào;dv 	不到	c=1 d=0.121846 t=9687
bú;ad,ax guò;zc 	不过	c=11 d=1.87917 t=9687
